 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1  ORDER2     E.TIME1     E.TIME2
       0           0           0         -nan         -nan       0       0  4.2534e-05  2.6391e-05
       1           0           0         -nan         -nan       0       0  2.3691e-05   2.748e-05
       2           0           0         -nan         -nan       0       0  2.5586e-05  2.2579e-05
       3           0           0         -nan         -nan       0       0  2.0038e-05  2.4971e-05
       4           0           0         -nan         -nan       0       0  2.5779e-05  2.2848e-05
       5           0           0         -nan         -nan       0       0   2.394e-05  2.4098e-05
       6           0           0         -nan         -nan       0       0  2.6442e-05  2.6709e-05
       7           0           0         -nan         -nan       0       0  1.9172e-05    2.09e-05
       8           0           0         -nan         -nan       0       0  2.5577e-05  2.1882e-05
       9           0           0         -nan         -nan       0       0  2.5236e-05  2.1967e-05
      10           0           0         -nan         -nan       0       0  2.4666e-05  2.3294e-05
      11           0           0         -nan         -nan       0       0  2.4523e-05  2.4189e-05
      12           0           0         -nan         -nan       0       0  2.5115e-05  2.1876e-05
      13           0           0         -nan         -nan       0       0  2.1888e-05  2.4308e-05
      14           0           0         -nan         -nan       0       0  5.2675e-05  3.7312e-05
      15           0           0         -nan         -nan       0       0  3.5115e-05  3.5618e-05
      16           0           0         -nan         -nan       0       0  3.4335e-05  3.5974e-05
      17           0           0         -nan         -nan       0       0  3.5147e-05  3.6267e-05
      18           0           0         -nan         -nan       0       0   3.486e-05   3.614e-05
      19           0           0         -nan         -nan       0       0  3.6701e-05  5.7753e-05
      20           0           0         -nan         -nan       0       0  3.3955e-05  3.6669e-05
